,Customer Name,Rating,Review Title,Review Description
0,Shivam18,5.0 out of 5 stars,Best laptop for basic purposes at ₹30k,"Basic Purposes - Online Classes , Excel sheet , basic business , Online surfing , etc.Pros -1. Original windows 11 out of the box2. Ms Office 2021 home and Student3. 256gb NVME ssd ( This is crucial for every laptop nowadays . If this is missing no matter how Powerful processor is , system will feel very slow and sluggish) Extra slot for HDD or sata Ssd4. Ram upgradeable as extra slot available5. Amd athlon processor is good for basic things its below i3 10 th gen and ryzen 3 but above pentium silver6. Dell brand value and after sales service drivers download is very easy.Cons-1. Screen is not that good as it has HD resolution . You can see pixels while reading pdf . And not that bright also2. Hinge mechanism is good but looks fragile as it don't open easily on surface which is not rigid and smooth like bed , sofa . You have hold it and open then place on surface .3. Speakers are clear but loudness is below average when compared to Lenovo and hp speakers it very timid sounding.4. Thermals are  bad but its case for every laptop nowadays . Cooling system can be better as it very important as cpu throttling can slow down system .5. Dell warranty extension is unnecessaryily complicated process .If you want better performance go for i3 11th or 10th gen with ssd combination"
1,Veenu Gosain,5.0 out of 5 stars,Very awesome product and thanks Amazon for fast delivery.,Very nice product.
2,Mukunda Sing,5.0 out of 5 stars,Its good,But there is no warranty card
3,shubham,1.0 out of 5 stars,worst product ever on amazon,"using amazon since its launch in india and bought thousands of products from here , but never had a poor product like this ....not able to even switch on this productasked for return ...customer care person said not possibleasked for exchange again said not possibleseriously shame on dell for launching this kind of product."
4,Vishal Pandey,5.0 out of 5 stars,Excellent,Awesome Item🥰🥰🥰🥰
5,Amazon Customer,1.0 out of 5 stars,Misleading information on amazon. Webcam like 2 megapixels,"Webcam is like 2 megapixels, processor is slow, built quality is poor. Don't buy."
6,swapnil,1.0 out of 5 stars,Bad quality,Never recommended to anyoneDon't buyCheep qualityBattery life is not more then 1month according to my experience only chep price 30k but not worth full Poor screen quality slow processor
7,Vikas Sharma,5.0 out of 5 stars,Great laptop under 30k.,Satisfied with the product quality and service by Amazon. Timely delivered. The speed of the laptop is quite good. Value for money. Been using it for a week and experience is great.
8,Rajan Kapoor,1.0 out of 5 stars,Screen Display is coming out from the Joints.,We bought this laptop in the month of Feb'22. It's been 10 days since the screen and it's plastic borders are coming out and there is a problem w.r.t opening and closing the laptop.There is no physical damage that has happened from our end.Looking forward for the replacement of this product
9,Ashu Batra,1.0 out of 5 stars,Poor quality product,The laptop screen panel came off within 2 months. And there is no one to help us . Bad customer support. No availability of service person. Calls to customer care don't get connected. Extremely bad experience. Lenovo is always best and durable. Don't know whom should i complain for the same as there is no one to listen to you.
